id,make,model,date,measured_by,Re,fs,Zmax,f1,f2,deltaM_kg,fo,Dd_m,Zmin,f3,Z12,R0,Qms,Qes,Qts,mms_kg,Rms,BL,Cms,Sd_m2,Vas_m3,Le,Znom,fLe,KLe,Xmax_mm,Xlim_mm,Pe,Hg_mm,Vd_cm3,notes
17,"DD Audio","612F",2026-04-20,"DD Audio Datasheet",1,31,0,0,0,0,0,0.2604,0,0,0,0,5.06,0.443,0.407,0.130702,5.0312,2.397,0.000202,0.053236,0.08116,0,0,0,0,22,60,1000,0,1171.19,"Imported from DD Audio manufacturer datasheet"
18,"DD Audio","710F",2026-04-20,"DD Audio Datasheet",1,33.11,0,0,0,0,0,0.2159,0,0,0,0,4.414,0.406,0.371,0.2723,12.8338,3.735,8.5e-05,0.03661,0.01615,0,0,0,0,22,84,1500,0,805.42,"Imported from DD Audio manufacturer datasheet"
19,"DD Audio","712F",2026-04-20,"DD Audio Datasheet",1,32.13,0,0,0,0,0,0.2604,0,0,0,0,6.463,0.512,0.475,0.408948,12.7301,4.016,6e-05,0.053236,0.02423,0,0,0,0,22,100,1500,0,1171.19,"Imported from DD Audio manufacturer datasheet"
20,"DD Audio","715F",2026-04-20,"DD Audio Datasheet",1,30.25,0,0,0,0,0,0.3239,0,0,0,0,7.353,0.685,0.627,0.426948,11.0361,3.442,6.5e-05,0.082372,0.06247,0,0,0,0,22,100,1500,0,1812.18,"Imported from DD Audio manufacturer datasheet"
21,"DD Audio","9510L (ESP)",2026-04-20,"DD Audio Datasheet",1,37.68,0,0,0,0,0,0.2349,0,0,0,0,7.43,0.457,0.431,0.251389,8.0103,3.609,7.1e-05,0.043355,0.018943,0,0,0,0,32,46,2500,0,1387.36,"Imported from DD Audio manufacturer datasheet"
22,"DD Audio","9512L (ESP)",2026-04-20,"DD Audio Datasheet",1,37.68,0,0,0,0,0,0.2794,0,0,0,0,6.901,0.732,0.662,0.361982,12.4184,3.422,4.9e-05,0.061312,0.02631,0,0,0,0,32,62,2500,0,1961.98,"Imported from DD Audio manufacturer datasheet"
23,"DD Audio","9515L (ESP)",2026-04-20,"DD Audio Datasheet",1,39.03,0,0,0,0,0,0.3619,0,0,0,0,6.915,0.738,0.666,0.471936,16.7367,3.96,3.5e-05,0.102893,0.05297,0,0,0,0,32,92,2500,0,3292.58,"Imported from DD Audio manufacturer datasheet"
24,"DD Audio","9518L (ESP)",2026-04-20,"DD Audio Datasheet",1,30.95,0,0,0,0,0,0.3937,0,0,0,0,6.293,0.808,0.716,0.568308,17.5617,3.698,4.7e-05,0.121736,0.09792,0,0,0,0,32,62,2500,0,3895.55,"Imported from DD Audio manufacturer datasheet"
25,"DD Audio","9912C",2026-04-20,"DD Audio Datasheet",1,31.63,0,0,0,0,0,0.2794,0,0,0,0,5.398,0.377,0.352,0.571962,21.0578,5.491,4.4e-05,0.061312,0.02363,0,0,0,0,32,62,3200,0,1961.98,"Imported from DD Audio manufacturer datasheet"
26,"DD Audio","9915C",2026-04-20,"DD Audio Datasheet",1,34.32,0,0,0,0,0,0.3619,0,0,0,0,6.551,0.426,0.4,0.594533,19.5702,5.486,3.6e-05,0.102893,0.05438,0,0,0,0,32,62,3200,0,3292.58,"Imported from DD Audio manufacturer datasheet"
27,"DD Audio","9918C",2026-04-20,"DD Audio Datasheet",1,26.24,0,0,0,0,0,0.3937,0,0,0,0,2.265,0.517,0.47,0.478192,34.8079,3.905,7.7e-05,0.121736,0.1619,0,0,0,0,32,60,3200,0,3895.55,"Imported from DD Audio manufacturer datasheet"
28,"DD Audio","9921C",2026-04-20,"DD Audio Datasheet",1,26.24,0,0,0,0,0,0.4636,0,0,0,0,5.265,0.517,0.471,0.919028,28.7789,5.414,4e-05,0.168765,0.1619,0,0,0,0,32,92,3200,0,5400.48,"Imported from DD Audio manufacturer datasheet"
29,"DD Audio","SL608",2026-04-20,"DD Audio Datasheet",1,34,0,0,0,0,0,0.1651,0,0,0,0,5.139,0.432,0.398,0.108808,4.5232,2.32,0.000201,0.021408,0.013106,0,0,0,0,12,38,300,0,256.896,"Imported from DD Audio manufacturer datasheet"
30,"DD Audio","SL610",2026-04-20,"DD Audio Datasheet",1,29,0,0,0,0,0,0.2113,0,0,0,0,6.878,0.393,0.372,0.196576,5.2077,3.019,0.000153,0.035076,0.026769,0,0,0,0,19,40,600,0,666.444,"Imported from DD Audio manufacturer datasheet"
31,"DD Audio","SL612",2026-04-20,"DD Audio Datasheet",1,27,0,0,0,0,0,0.2637,0,0,0,0,7.906,0.432,0.409,0.215171,4.6171,2.907,0.000161,0.054595,0.068349,0,0,0,0,19,40,600,0,1037.31,"Imported from DD Audio manufacturer datasheet"
32,"DD Audio","SL710",2026-04-20,"DD Audio Datasheet",1,41,0,0,0,0,0,0.254,0,0,0,0,6.1,0.63,0.57,0.47774,20.1756,4.42,3.2e-05,0.050671,0.0115,0,0,0,0,19,40,1000,0,962.749,"Imported from DD Audio manufacturer datasheet"
33,"DD Audio","SL710 D4",2026-04-20,"DD Audio Datasheet",1.792,41,0,0,0,0,0,0.254,0,0,0,0,6.1,0.63,0.57,0.47774,20.1756,18.711,3.2e-05,0.050671,0.0115,0,0,0,0,19,40,1000,0,962.749,"Imported from DD Audio manufacturer datasheet"
34,"DD Audio","SL712",2026-04-20,"DD Audio Datasheet",0.9,29,0,0,0,0,0,0.3048,0,0,0,0,5.4,0.62,0.54,0.580895,19.6012,12.395,5.2e-05,0.072966,0.0392,0,1,0,0,19,40,1000,0,1386.35,"Imported from DD Audio manufacturer datasheet"
35,"DD Audio","SL715",2026-04-20,"DD Audio Datasheet",0.9,27.7,0,0,0,0,0,0.381,0,0,0,0,6,0.73,0.66,1.1099,32.1953,15.432,3e-05,0.114009,0.0549,0,0,0,0,19,40,1000,0,2166.17,"Imported from DD Audio manufacturer datasheet"
36,"DD Audio","W10A",2026-04-20,"DD Audio Datasheet",1,60,0,0,0,0,0,0.254,0,0,0,0,4.819,0.375,0.348,0.046812,3.6621,2.169,0.00015,0.0506707,0.054802,0,0,0,0,0,0,300,0,0,"Imported from DD Audio manufacturer datasheet"
37,"DD Audio","W508",2026-04-20,"DD Audio Datasheet",1,60,0,0,0,0,0,0.203,0,0,0,0,2.169,0.645,0.497,0.040901,7.109,1.546,0.000172,0.0323655,0.02559,0,0,0,0,8,0,400,0,258.924,"Imported from DD Audio manufacturer datasheet"
38,"DD Audio","W712",2026-04-20,"DD Audio Datasheet",1,40.85,0,0,0,0,0,0.2477,0,0,0,0,5.807,0.517,0.475,0.284879,12.5916,3.761,5.3e-05,0.048188,0.01757,0,0,0,0,12,30,1200,0,578.256,"Imported from DD Audio manufacturer datasheet"
39,"DD Audio","WN710",2026-04-20,"DD Audio Datasheet",1,40,0,0,0,0,0,0.254,0,0,0,0,4.68,0.42,0.38,0.560397,30.0947,5.791,2.8e-05,0.0506707,0.0103,0,0,0,0,12,0,1200,0,608.049,"Imported from DD Audio manufacturer datasheet"
40,"Deaf Bonce","MF-10S D2",2026-04-20,"Manufacturer Datasheet",0.9,36,0,0,0,0,0,0.215,0,0,0,0,1.74,0.607,0.45,0.415851,54.0594,18,4.7e-05,0.036305,0.020516,0,0,0,0,14,28,800,0,508.27,""
